Year	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec
2022	0.07480	0.07871	0.08542	0.08259	0.08582	0.09060	0.08525	0.08263	0.08202			
2021	0.01400	0.01676	0.02620	0.04160	0.04993	0.05391	0.05365	0.05251	0.05390	0.06222	0.06809	0.07036
2020	0.02487	0.02335	0.01539	0.00329	0.00118	0.00646	0.00986	0.01310	0.01371	0.01182	0.01175	0.01362
2019	0.01551	0.01520	0.01863	0.01996	0.01790	0.01648	0.01811	0.01750	0.01711	0.01764	0.02051	0.02285
2018	0.02071	0.02212	0.02360	0.02463	0.02801	0.02872	0.02950	0.02699	0.02277	0.02522	0.02177	0.01910
2017	0.02500	0.02738	0.02381	0.02200	0.01872	0.01625	0.01720	0.01939	0.02233	0.02041	0.02203	0.02109
2016	0.01373	0.01018	0.00853	0.01125	0.01022	0.01006	0.00835	0.01063	0.01464	0.01636	0.01693	0.02075
2015	-0.00089	-0.00025	-0.00074	-0.00200	-0.00040	0.00124	0.00170	0.00195	-0.00036	0.00171	0.00502	0.00730
2014	0.01579	0.01126	0.01512	0.01953	0.02127	0.02072	0.01992	0.01700	0.01658	0.01664	0.01322	0.00756
2013	0.01595	0.01978	0.01474	0.01063	0.01362	0.01754	0.01961	0.01518	0.01185	0.00964	0.01237	0.01502
2012	0.02925	0.02871	0.02651	0.02303	0.01704	0.01664	0.01408	0.01692	0.01991	0.02162	0.01764	0.01741
2011	0.01632	0.02108	0.02682	0.03164	0.03569	0.03559	0.03629	0.03771	0.03868	0.03525	0.03394	0.02962
2010	0.02626	0.02143	0.02314	0.02236	0.02021	0.01053	0.01235	0.01148	0.01144	0.01172	0.01143	0.01496
2009	0.00030	0.00236	-0.00384	-0.00737	-0.01281	-0.01427	-0.02097	-0.01484	-0.01286	-0.00183	0.01838	0.02721
2008	0.04280	0.04027	0.03981	0.03937	0.04176	0.05022	0.05600	0.05372	0.04937	0.03655	0.01070	0.00091
2007	0.02076	0.02415	0.02779	0.02574	0.02691	0.02687	0.02358	0.01970	0.02755	0.03536	0.04306	0.04081
2006	0.03985	0.03597	0.03363	0.03546	0.04167	0.04319	0.04145	0.03819	0.02062	0.01305	0.01974	0.02541
2005	0.02970	0.03008	0.03148	0.03511	0.02803	0.02530	0.03168	0.03641	0.04687	0.04348	0.03455	0.03416
2004	0.01926	0.01693	0.01737	0.02285	0.03052	0.03266	0.02991	0.02654	0.02538	0.03189	0.03523	0.03256
2003	0.02597	0.02981	0.03020	0.02225	0.02058	0.02112	0.02110	0.02158	0.02320	0.02041	0.01765	0.01879
2002	0.01142	0.01138	0.01476	0.01639	0.01182	0.01067	0.01465	0.01803	0.01514	0.02026	0.02198	0.02377
2001	0.03732	0.03534	0.02921	0.03269	0.03615	0.03248	0.02720	0.02720	0.02648	0.02126	0.01895	0.01552
2000	0.02739	0.03222	0.03758	0.03069	0.03189	0.03730	0.03659	0.03411	0.03454	0.03448	0.03446	0.03387
1999	0.01671	0.01606	0.01726	0.02277	0.02088	0.01963	0.02145	0.02264	0.02628	0.02561	0.02622	0.02685
1998	0.01571	0.01441	0.01375	0.01436	0.01686	0.01684	0.01682	0.01617	0.01489	0.01485	0.01548	0.01612
1997	0.03044	0.03034	0.02762	0.02495	0.02235	0.02297	0.02229	0.02225	0.02155	0.02085	0.01828	0.01702
1996	0.02728	0.02651	0.02840	0.02897	0.02891	0.02754	0.02951	0.02878	0.03003	0.02993	0.03255	0.03322
1995	0.02804	0.02863	0.02853	0.03053	0.03186	0.03041	0.02763	0.02617	0.02544	0.02809	0.02605	0.02538
1994	0.02525	0.02516	0.02507	0.02361	0.02288	0.02493	0.02770	0.02901	0.02963	0.02608	0.02675	0.02675
1993	0.03259	0.03247	0.03087	0.03226	0.03221	0.02996	0.02776	0.02768	0.02689	0.02750	0.02676	0.02748
1992	0.02600	0.02819	0.03185	0.03180	0.03024	0.03088	0.03157	0.03148	0.02988	0.03202	0.03048	0.02901
1991	0.05651	0.05313	0.04895	0.04888	0.04954	0.04696	0.04448	0.03799	0.03391	0.02921	0.02990	0.03064
